=== START CHECK: 04/07/2026, 22.15.09 ===
Fetching all series from Supabase...
Found 1000 series with tmdb_id. Checking for corruption...
✅ MATCH: "Rome" matches "Rome"
✅ MATCH: "Friends" matches "Friends"
✅ MATCH: "Heroes" matches "Heroes"
✅ MATCH: "Boardwalk Empire" matches "Boardwalk Empire"
✅ MATCH: "The Wire" matches "The Wire"
✅ MATCH: "Family Guy" matches "Family Guy"
✅ MATCH: "Attack on Titan" matches "Attack on Titan"
✅ MATCH: "House of Cards" matches "House of Cards"
✅ MATCH: "Orange Is the New Black" matches "Orange Is the New Black"
✅ MATCH: "The Middle" matches "The Middle"
✅ MATCH: "Modern Family" matches "Modern Family"
✅ MATCH: "The Big Bang Theory" matches "The Big Bang Theory"
✅ MATCH: "Grey's Anatomy" matches "Grey's Anatomy"
✅ MATCH: "Elementary" matches "Elementary"
✅ MATCH: "American Horror Story" matches "American Horror Story"
✅ MATCH: "A Lifetime of Happiness" matches "A Lifetime of Happiness"
✅ MATCH: "Voice" matches "Voice"
✅ MATCH: "The Spiderwick Chronicles" matches "The Spiderwick Chronicles"
✅ MATCH: "House" matches "House"
✅ MATCH: "Dexter" matches "Dexter"
✅ MATCH: "Chuck" matches "Chuck"
✅ MATCH: "Marvel's Agents of S.H.I.E.L.D." matches "Marvel's Agents of S.H.I.E.L.D."
✅ MATCH: "The Walking Dead" matches "The Walking Dead"
✅ MATCH: "Seinfeld" matches "Seinfeld"
✅ MATCH: "Game of Thrones" matches "Game of Thrones"
✅ MATCH: "The Sopranos" matches "The Sopranos"
✅ MATCH: "Breaking Bad" matches "Breaking Bad"
✅ MATCH: "Gossip Girl" matches "Gossip Girl"
✅ MATCH: "Six Feet Under" matches "Six Feet Under"
✅ MATCH: "Californication" matches "Californication"
✅ MATCH: "Mad Men" matches "Mad Men"
✅ MATCH: "Ouran High School Host Club" matches "Ouran High School Host Club"
✅ MATCH: "Galileo" matches "Galileo"
✅ MATCH: "The Good Detective" matches "The Good Detective"
✅ MATCH: "Futurama" matches "Futurama"
✅ MATCH: "The Simpsons" matches "The Simpsons"
✅ MATCH: "One Tree Hill" matches "One Tree Hill"
✅ MATCH: "Avatar: The Last Airbender" matches "Avatar: The Last Airbender"
✅ MATCH: "Sex and the City" matches "Sex and the City"
✅ MATCH: "How to Make It in America" matches "How to Make It in America"
✅ MATCH: "The Legend of the Condor Heroes" matches "The Legend of the Condor Heroes"
✅ MATCH: "Victorious" matches "Victorious"
✅ MATCH: "Bored to Death" matches "Bored to Death"
✅ MATCH: "Bleach" matches "Bleach"
✅ MATCH: "Yu Yu Hakusho" matches "Yu Yu Hakusho"
✅ MATCH: "NieA_7" matches "NieA_7"
✅ MATCH: "Peter Grill and the Philosopher's Time" matches "Peter Grill and the Philosopher's Time"
✅ MATCH: "The Pharmacist" matches "The Pharmacist"
✅ MATCH: "The Keepers" matches "The Keepers"
✅ MATCH: "Hung" matches "Hung"
✅ MATCH: "Community" matches "Community"
✅ MATCH: "The Vampire Diaries" matches "The Vampire Diaries"
✅ MATCH: "Generation Kill" matches "Generation Kill"
✅ MATCH: "The Beatles Anthology" matches "The Beatles Anthology"
✅ MATCH: "Boys Over Flowers" matches "Boys Over Flowers"
✅ MATCH: "The Newsroom" matches "The Newsroom"
✅ MATCH: "Adventure Time" matches "Adventure Time"
✅ MATCH: "Death Note" matches "Death Note"
✅ MATCH: "True Blood" matches "True Blood"
✅ MATCH: "Parks and Recreation" matches "Parks and Recreation"
✅ MATCH: "Ties of Shooting Stars" matches "Ties of Shooting Stars"
✅ MATCH: "Bang Bang Baby" matches "Bang Bang Baby"
✅ MATCH: "Kisarazu Cat's Eye" matches "Kisarazu Cat's Eye"
✅ MATCH: "Band of Brothers" matches "Band of Brothers"
✅ MATCH: "Lost" matches "Lost"
✅ MATCH: "Smallville" matches "Smallville"
✅ MATCH: "Gilmore Girls" matches "Gilmore Girls"
✅ MATCH: "Mr. Bean" matches "Mr. Bean"
✅ MATCH: "Five Days" matches "Five Days"
✅ MATCH: "The Spectacular Spider-Man" matches "The Spectacular Spider-Man"
✅ MATCH: "Nip/Tuck" matches "Nip/Tuck"
✅ MATCH: "Full House" matches "Full House"
✅ MATCH: "Veep" matches "Veep"
✅ MATCH: "The Tudors" matches "The Tudors"
✅ MATCH: "Two and a Half Men" matches "Two and a Half Men"
✅ MATCH: "Mr. Bean: The Animated Series" matches "Mr. Bean: The Animated Series"
✅ MATCH: "The Office" matches "The Office"
✅ MATCH: "Orange Days" matches "Orange Days"
✅ MATCH: "Adventures of the Super Monkey -Journey to the West-" matches "Adventures of the Super Monkey -Journey to the West-"
✅ MATCH: "The Daily Life of the Immortal King" matches "The Daily Life of the Immortal King"
✅ MATCH: "Sam & Cat" matches "Sam & Cat"
✅ MATCH: "Good Luck!!" matches "Good Luck!!"
✅ MATCH: "The Comeback" matches "The Comeback"
✅ MATCH: "Entourage" matches "Entourage"
✅ MATCH: "JoJo's Bizarre Adventure" matches "JoJo's Bizarre Adventure"
✅ MATCH: "Kuroko's Basketball" matches "Kuroko's Basketball"
✅ MATCH: "Sword Art Online" matches "Sword Art Online"
✅ MATCH: "The Moon Embracing the Sun" matches "The Moon Embracing the Sun"
✅ MATCH: "Rookies" matches "Rookies"
✅ MATCH: "The Innocent Man" matches "The Innocent Man"
✅ MATCH: "DreamWorks Dragons" matches "DreamWorks Dragons"
✅ MATCH: "A Bridge to the Starry Skies" matches "A Bridge to the Starry Skies"
✅ MATCH: "Vikings" matches "Vikings"
✅ MATCH: "Rooftop Prince" matches "Rooftop Prince"
✅ MATCH: "Safe" matches "Safe"
✅ MATCH: "School 2021" matches "School 2021"
✅ MATCH: "Key & Peele" matches "Key & Peele"
✅ MATCH: "TIGER & BUNNY" matches "TIGER & BUNNY"
✅ MATCH: "Slam Dunk" matches "Slam Dunk"
✅ MATCH: "Girls" matches "Girls"
✅ MATCH: "Black Mirror" matches "Black Mirror"
✅ MATCH: "Antarctica" matches "Antarctica"
✅ MATCH: "Banshee" matches "Banshee"
✅ MATCH: "Initial D" matches "Initial D"
✅ MATCH: "Marvel's Hulk and the Agents of S.M.A.S.H." matches "Marvel's Hulk and the Agents of S.M.A.S.H."
✅ MATCH: "Hannibal" matches "Hannibal"
✅ MATCH: "The Sinner" matches "The Sinner"
✅ MATCH: "Grimm" matches "Grimm"
✅ MATCH: "2 Broke Girls" matches "2 Broke Girls"
✅ MATCH: "Marvel's Jessica Jones" matches "Marvel's Jessica Jones"
✅ MATCH: "Our Last Crusade or the Rise of a New World" matches "Our Last Crusade or the Rise of a New World"
✅ MATCH: "Cells at Work! CODE BLACK" matches "Cells at Work! CODE BLACK"
✅ MATCH: "One Piece" matches "One Piece"
✅ MATCH: "Secret Garden" matches "Secret Garden"
✅ MATCH: "The Amazing World of Gumball" matches "The Amazing World of Gumball"
✅ MATCH: "The Tatami Galaxy" matches "The Tatami Galaxy"
✅ MATCH: "Berserk" matches "Berserk"
✅ MATCH: "InuYasha" matches "InuYasha"
✅ MATCH: "The Black Swindler" matches "The Black Swindler"
✅ MATCH: "Enlightened" matches "Enlightened"
✅ MATCH: "Teen Wolf" matches "Teen Wolf"
✅ MATCH: "Sungkyunkwan Scandal" matches "Sungkyunkwan Scandal"
✅ MATCH: "Shameless" matches "Shameless"
✅ MATCH: "Dongjae, the Good or the Bastard" matches "Dongjae, the Good or the Bastard"
✅ MATCH: "My Girlfriend Is a Gumiho" matches "My Girlfriend Is a Gumiho"
✅ MATCH: "Nikita" matches "Nikita"
✅ MATCH: "Luck" matches "Luck"
✅ MATCH: "The Big C" matches "The Big C"
✅ MATCH: "Pasta" matches "Pasta"
✅ MATCH: "Marco Polo" matches "Marco Polo"
✅ MATCH: "Fargo" matches "Fargo"
✅ MATCH: "Bosch" matches "Bosch"
✅ MATCH: "Peaky Blinders" matches "Peaky Blinders"
✅ MATCH: "Silicon Valley" matches "Silicon Valley"
✅ MATCH: "Better Call Saul" matches "Better Call Saul"
✅ MATCH: "Reply 1994" matches "Reply 1994"
✅ MATCH: "Cosmos" matches "Cosmos"
✅ MATCH: "Looking" matches "Looking"
✅ MATCH: "Getting On" matches "Getting On"
✅ MATCH: "Good Doctor" matches "Good Doctor"
✅ MATCH: "The Strain" matches "The Strain"
✅ MATCH: "Trapped in the Box" matches "Trapped in the Box"
✅ MATCH: "High School of the Dead" matches "High School of the Dead"
✅ MATCH: "Outlander" matches "Outlander"
✅ MATCH: "Orphan Black" matches "Orphan Black"
✅ MATCH: "I Hear Your Voice" matches "I Hear Your Voice"
✅ MATCH: "The Leftovers" matches "The Leftovers"
✅ MATCH: "Hanna" matches "Hanna"
✅ MATCH: "Love" matches "Love"
✅ MATCH: "Hello Ladies" matches "Hello Ladies"
✅ MATCH: "Halo" matches "Halo"
✅ MATCH: "Black Butler" matches "Black Butler"
✅ MATCH: "Mom" matches "Mom"
